Champion,Skill,Skill Name,Primary Damage Stat,Base,ATK or DEF Buff,Book,Mastery,Total,Damage Bonus from Books,DamageGrade,Target
Andryssia,A3,Pointed Justice,DEF,6817,1.6,1.2,1.00,13089,20,Strong,AoE Enemy
Underpriest Brogni,A2,Cavern's Grasp,ATK,7930,1.5,1.1,1.00,13085,10,Strong,AoE Enemy
Pharsalas Gravedirt,A1,Grasp of the Grave,DEF,7433,1.6,1.1,1.00,13082,10,Strong,Single Target
Akoth the Seared,A1,Molten Punch,DEF,7426,1.6,1.1,1.00,13070,10,Strong,Single Target
Delver,A1,Necrotic Toxin,ATK,7921,1.5,1.1,1.00,13070,10,Strong,Single Target
Dhukk the Pierced,A1,Mad Chopper,DEF,7425,1.6,1.1,1.00,13068,10,Strong,Single Target
Rearguard Sergeant,A2,Flail Master,DEF,6282,1.6,1.3,1.00,13067,30,Strong,AoE Enemy
Suzerain Katonn,A2,Hex of Years,ATK,7571,1.5,1.15,1.00,13060,15,Strong,AoE Enemy
Bonekeeper,A1,Batter,ATK,7569,1.5,1.15,1.00,13057,15,Strong,Single Target
Royal Guard,A1,Razor Blade,ATK,7569,1.5,1.15,1.00,13057,15,Strong,Single Target
Wurlim Frostking,A1,Winds of Winter,DEF,7091,1.6,1.15,1.00,13047,15,Strong,Single Target
Wurlim Frostking,A2,Frostbite Blast,DEF,7091,1.6,1.15,1.00,13047,15,Strong,AoE Enemy
Gliseah Soulguide,A1,Glittering Slash,DEF,6792,1.6,1.2,1.00,13041,20,Strong,Single Target
Arndulf,A1,Iron Greatclub,DEF,7403,1.6,1.1,1.00,13029,10,Strong,Single Target
Gurptuk Moss-Beard,A1,Biotic Staff,ATK,6942,1.5,1.25,1.00,13016,25,Strong,Single Target
Warmaiden,A3,Crumbling Blast,ATK,7889,1.5,1.1,1.00,13017,10,Strong,AoE Enemy
Exiled Sorcerer,A2,Plague Mines,ATK,7540,1.5,1.15,1.00,13006,15,Strong,AoE Enemy
Rugnor Goldgleam,A1,Thirsty Axe,ATK,7877,1.5,1.1,1.00,12997,10,Strong,Single Target
Warden,A2,Rending Flames,DEF,6766,1.6,1.2,1.00,12991,20,Strong,AoE Enemy
Lightsworn,A1,Teardown,DEF,6242,1.6,1.3,1.00,12983,30,Strong,Single Target
Jareg,A1,Rending Claws,ATK,7210,1.5,1.2,1.00,12978,20,Strong,Single Target
Dagger,A2,Precision Sabotage,ATK,7518,1.5,1.15,1.00,12969,15,Strong,AoE Enemy
Chani,A3,Shower of Misery,ATK,8639,1.5,1,1.00,12959,0,Strong,AoE Enemy
Basher,A1,Splintering Bash,ATK,7197,1.5,1.2,1.00,12955,20,Strong,Single Target
Sethallia,A1,Put to Flame,ATK,7842,1.5,1.1,1.00,12939,10,Strong,Single Target
Masked Fearmonger,A1,Nightmare,ATK,7187,1.5,1.2,1.00,12937,20,Strong,Single Target
Kunoichi,A2,Poison Piercing,DEF,7023,1.6,1.15,1.00,12922,15,Strong,AoE Enemy
Helicath,A1,Pyroclastic Claw,DEF,7340,1.6,1.1,1.00,12918,10,Strong,Single Target
Warchief,A1,Brutal Force,DEF,6200,1.6,1.3,1.00,12896,30,Strong,Single Target
Underpriest Brogni,A1,Deepcrystal Scourge,ATK,7810,1.5,1.1,1.00,12887,10,Strong,Single Target
Armina,A1,Discipline Staff,ATK,7807,1.5,1.1,1.00,12882,10,Strong,Single Target
Ripperfist,A2,Rip to Shreds,ATK,7156,1.5,1.2,1.00,12881,20,Average,Single Target
Siegehulk,A1,Battering Ram,ATK,7156,1.5,1.2,1.00,12881,20,Strong,Single Target
hero 3750 name,A3,Skill 37503 name ascended,ATK,6868,1.5,1.25,1.00,12878,25,Average,AoE Enemy
Sicia Flametongue,A1,Towering Inferno,ATK,7459,1.5,1.15,1.00,12867,15,Strong,Single Target
Nazana,A3,Steel Breaker,ATK,7795,1.5,1.1,1.00,12862,10,Average,AoE Enemy
Fleshmonger,A3,Tornado Cleaver,ATK,7135,1.5,1.2,1.00,12843,20,Average,AoE Enemy
Prosecutor,A1,Sap Initiative,ATK,7135,1.5,1.2,1.00,12843,20,Strong,Single Target
Rearguard Sergeant,A1,Crushing Impact,DEF,6980,1.6,1.15,1.00,12843,15,Strong,Single Target
Vergis,A1,Pierce,DEF,7294,1.6,1.1,1.00,12837,10,Strong,Single Target
Heartpiercer,A1,Perforate,ATK,7130,1.5,1.2,1.00,12834,20,Strong,Single Target
Hound Spawn,A1,Fire Breath,ATK,6845,1.5,1.25,1.00,12834,25,Strong,Single Target
Terrorbeast,A1,Painful Bite,ATK,7440,1.5,1.15,1.00,12834,15,Strong,Single Target
Myrmidon,A2,Disarm Sweep,DEF,6684,1.6,1.2,1.00,12833,20,Average,AoE Enemy
Defiled Sinner,A1,Murderer's Craft,ATK,7129,1.5,1.2,1.00,12832,20,Godlike,Single Target
Galkut,A1,Mangle Limbs,ATK,7437,1.5,1.15,1.00,12829,15,Strong,Single Target
Visix the Unbowed,A2,Sinister Allies,DEF,7282,1.6,1.1,1.00,12816,10,Average,AoE Enemy
Myciliac Priest Orn,A2,Erupting Growths,HP,11641,1,1.1,1.00,12805,10,Average,Single Target
Bombardier,A1,Bombard,ATK,7107,1.5,1.2,1.00,12793,20,Strong,Single Target
Lady Quilen,A3,First to Fight,ATK,7102,1.5,1.2,1.00,12784,20,Average,AoE Enemy
Dark Kael,A1,Weaver of Woes,ATK,7744,1.5,1.1,1.00,12778,10,Strong,Single Target
Crimson Slayer,A3,Copious Bleed,ATK,6552,1.5,1.3,1.00,12776,30,Average,AoE Enemy
Cultist,A1,Sickle,ATK,7095,1.5,1.2,1.00,12771,20,Strong,Single Target
Mighty Ukko,A2,Ukko's Fury,ATK,7092,1.5,1.2,1.00,12766,20,Average,AoE Enemy
Madman,A2,Insane Resilience,ATK,6805,1.5,1.25,1.00,12759,25,Average,AoE Enemy
Hope,A3,Holy Storm,ATK,7731,1.5,1.1,1.00,12756,10,Average,AoE Enemy
Confessor,A2,Blinding Light,ATK,7729,1.5,1.1,1.00,12753,10,Average,AoE Enemy
Bloodpainter,A2,Embers,ATK,7084,1.5,1.2,1.00,12751,20,Average,AoE Enemy
Ashwalker,A3,Backbreaker,ATK,7724,1.5,1.1,1.00,12745,10,Average,AoE Enemy
Scyl of the Drakes,A2,Wingbeat Flurry,DEF,6629,1.6,1.2,1.00,12728,20,Average,AoE Enemy
Kaiden,A1,Halberd's Fall,DEF,7230,1.6,1.1,1.00,12725,10,Strong,Single Target
Raider,A2,Carnage,ATK,7371,1.5,1.15,1.00,12715,15,Average,AoE Enemy
Gorlos Hellmaw,A2,Raging Hunger,ATK,7704,1.5,1.1,1.00,12712,10,Average,AoE Enemy
Seeker,A1,Devour,ATK,6513,1.5,1.3,1.00,12700,30,Strong,Single Target
Outlander,A2,Talisman of Power,ATK,7054,1.5,1.2,1.00,12697,20,Average,AoE Enemy
Roshcard the Tower,A1,Rebuke,ATK,7053,1.5,1.2,1.00,12695,20,Strong,Single Target
Kytis,A1,Soul Reaper,ATK,7692,1.5,1.1,1.00,12692,10,Strong,Single Target
Athel,A1,Strike Down,ATK,7049,1.5,1.2,1.00,12688,20,Strong,Single Target
Ghoulish Ranger,A2,Foul Festering,ATK,7042,1.5,1.2,1.00,12676,20,Average,Single Target
Cillian the Lucky,A1,Trip Up,ATK,7041,1.5,1.2,1.00,12674,20,Strong,Single Target
Skull Lord Var-Gall,A3,Abyssal Clutch,DEF,7201,1.6,1.1,1.00,12674,10,Average,AoE Enemy
Icebound Prospector,A1,Frosty Pick,ATK,7038,1.5,1.2,1.00,12668,20,Strong,Single Target
Skraank,A1,Flitter In Chaos,ATK,7038,1.5,1.2,1.00,12668,20,Strong,Single Target
Tyrant Ixlimor,A2,Hellfire Torrent,DEF,6884,1.6,1.15,1.00,12667,15,Average,AoE Enemy
Canoness,A1,Lead the Charge,DEF,6595,1.6,1.2,1.00,12662,20,Strong,Single Target
Death Hound,A2,Gnaw,ATK,7026,1.5,1.2,1.00,12647,20,Average,Single Target
Alaric the Hooded,A1,Red Fury,ATK,7664,1.5,1.1,1.00,12646,10,Strong,Single Target
Keeyra the Watcher,A1,Falling Star Crush,DEF,7185,1.6,1.1,1.00,12646,10,Strong,Single Target
Morrigaine,A1,Haunt With Hesitation,ATK,7663,1.5,1.1,1.00,12644,10,Strong,Single Target
Skinner,A1,Sharpened Bone,ATK,7023,1.5,1.2,1.00,12641,20,Strong,Single Target
Ursine Ironhide,A3,Rampaging Swipe,DEF,6860,1.6,1.15,1.00,12622,15,Average,AoE Enemy
Veteran,A1,Disarm,DEF,6311,1.6,1.25,1.00,12622,25,Strong,Single Target
Temptress,A1,Sly Slice,ATK,7005,1.5,1.2,1.00,12609,20,Strong,Single Target
Venus,A1,Pining,ATK,7003,1.5,1.2,1.00,12605,20,Strong,Single Target
Pathfinder Cait,A2,Untraceable,ATK,7001,1.5,1.2,1.00,12602,20,Average,AoE Enemy
Bone Knight,A3,Death's Vigor,ATK,6997,1.5,1.2,1.00,12595,20,Average,AoE Enemy
Dilgol,A1,Crippler Round,ATK,6993,1.5,1.2,1.00,12587,20,Strong,Single Target
Maneater,A1,Pummel,ATK,6992,1.5,1.2,1.00,12586,20,Strong,Single Target
Atur,A1,Roaring Leap,DEF,7144,1.6,1.1,1.00,12573,10,Strong,Single Target
Pit Fighter,A2,Gust of Dust,ATK,6705,1.5,1.25,1.00,12572,25,Average,Single Target
Fylja,A3,Righteous Evocation,ATK,6983,1.5,1.2,1.00,12569,20,Average,AoE Enemy
Flailer,A1,Tangle Bash,DEF,6545,1.6,1.2,1.00,12566,20,Strong,Single Target
Gomlok Skyhide,A1,Soulsuck Tendrils,ATK,7978,1.5,1.05,1.00,12565,5,Strong,Single Target
Headsman,A1,Public Execution,ATK,7280,1.5,1.15,1.00,12558,15,Strong,Single Target
Yoshi the Drunkard,A1,Strong Booze,ATK,7611,1.5,1.1,1.00,12558,10,Strong,Single Target
Renouncer,A1,Redoubled Effort,ATK,6973,1.5,1.2,1.00,12551,20,Strong,Single Target
Belanor,A4,Tactical Partner,ATK,8357,1.5,1,1.00,12536,0,Average,Single Target
Battle Sister,A1,Sever,ATK,6685,1.5,1.25,1.00,12534,25,Strong,Single Target
Suzerain Katonn,A3,Banish From Time,ATK,6424,1.5,1.3,1.00,12527,30,Average,AoE Enemy
Chancellor Yasmin,A1,Resounding Smash,ATK,6422,1.5,1.3,1.00,12523,30,Strong,Single Target
Hope,A1,Sequester,ATK,7258,1.5,1.15,1.00,12520,15,Strong,Single Target
Itinerant,A2,Wanderer's Weirding,ATK,7257,1.5,1.15,1.00,12518,15,Average,AoE Enemy
Pigsticker,A1,Vile Substance,ATK,6954,1.5,1.2,1.00,12517,20,Strong,Single Target
Abbess,A1,Arrow of Rebuke,ATK,6670,1.5,1.25,1.00,12506,25,Strong,Single Target
Sniktraak,A2,Cloying Horror,HP,11363,1,1.1,1.00,12499,10,Average,AoE Enemy
Odachi,A2,Great Sword,DEF,6504,1.6,1.2,1.00,12488,20,Average,AoE Enemy
Tayrel,A1,Humble,DEF,6501,1.6,1.2,1.00,12482,20,Strong,Single Target
Ghrush the Mangler,A2,Bonebreaker Stomp,DEF,6783,1.6,1.15,1.00,12481,15,Average,AoE Enemy
Seducer,A2,Disorienting Blast,DEF,6783,1.6,1.15,1.00,12481,15,Average,AoE Enemy
Romero,A4,Stalwart Partner,DEF,7797,1.6,1,1.00,12475,0,Average,AoE Enemy
Lord Shazar,A3,Cruel Fate,ATK,6649,1.5,1.25,1.00,12467,25,Average,AoE Enemy
Dark Athel,A1,Profane Glaive,ATK,6922,1.5,1.2,1.00,12460,20,Strong,Single Target
Conellia,A1,Surprising Swiftness,ATK,7544,1.5,1.1,1.00,12448,10,Strong,Single Target
Judicator,A1,Bright Fury,ATK,6638,1.5,1.25,1.00,12446,25,Strong,Single Target
Candleguard,A3,Focused,ATK,6914,1.5,1.2,1.00,12445,20,Average,AoE Enemy
Archmage Hellmut,A1,Arcane Dynamo,ATK,6637,1.5,1.25,1.00,12444,25,Strong,Single Target
Ordinator,A2,Obedience Collars,ATK,7537,1.5,1.1,1.00,12436,10,Average,AoE Enemy
Candleguard,A2,Triumph Cry,ATK,7535,1.5,1.1,1.00,12433,10,Average,AoE Enemy
Archer,A2,Rain of Arrows,ATK,6366,1.5,1.3,1.00,12414,30,Average,AoE Enemy
Ursine Ironhide,A1,Confounding Crush,DEF,7387,1.6,1.05,1.00,12410,5,Strong,Single Target
Ritualist,A1,Power Slash,ATK,7194,1.5,1.15,1.00,12410,15,Strong,Single Target
Courtier,A3,Whirling Blow,ATK,6890,1.5,1.2,1.00,12402,20,Average,AoE Enemy
Nari the Lucky,A3,Irresistible Wealth,DEF,7750,1.6,1,1.00,12400,0,Average,AoE Enemy
Slasher,A1,Fearsome Slice,ATK,6358,1.5,1.3,1.00,12398,30,Strong,Single Target
Lich,A1,Curse of Blindness,DEF,7034,1.6,1.1,1.00,12380,10,Strong,Single Target
Drowned Bloatwraith,A2,Wretched Stench,ATK,7497,1.5,1.1,1.00,12370,10,Average,AoE Enemy
Magus,A3,Vitality Theft,ATK,6869,1.5,1.2,1.00,12364,20,Average,AoE Enemy
Theresc,A1,Dual Debility,ATK,7493,1.5,1.1,1.00,12363,10,Strong,Single Target
Vulpine,A1,Bare Fangs,ATK,6868,1.5,1.2,1.00,12362,20,Strong,Single Target
Malbranche,A1,Gathering Inferno,ATK,7160,1.5,1.15,1.00,12351,15,Strong,Single Target
Kreela Witch-Arm,A3,War Weirding,ATK,8229,1.5,1,1.00,12344,0,Average,AoE Enemy
Crohnam,A1,Djinn Swords,ATK,7146,1.5,1.15,1.00,12327,15,Strong,Single Target
Mithrala Lifebane,A2,Sigil of Toxic Glory,DEF,7704,1.6,1,1.00,12326,0,Average,AoE Enemy
Captain Temila,A1,Bond of Duty,ATK,6844,1.5,1.2,1.00,12319,20,Strong,Single Target
Slicer,A1,Finishing Blow,ATK,6844,1.5,1.2,1.00,12319,20,Strong,Single Target
Lonatharil,A2,Flicker Barrier,HP,10260,1,1.2,1.00,12312,20,Average,AoE Enemy
Kurzad Deepheart,A2,Flailing Pick,ATK,6310,1.5,1.3,1.00,12305,30,Average,AoE Enemy
Mausoleum Mage,A1,Soul Manacles,ATK,7130,1.5,1.15,1.00,12299,15,Strong,Single Target
Dervish,A1,Flurry,ATK,7450,1.5,1.1,1.00,12293,10,Strong,Random Enemy
Sandlashed Survivor,A2,Endless Sands,DEF,6402,1.6,1.2,1.00,12292,20,Average,AoE Enemy
Yannica,A1,Even the Odds,ATK,6828,1.5,1.2,1.00,12290,20,Godlike,AoE Enemy
Warden,A1,Deathmark,DEF,6400,1.6,1.2,1.00,12288,20,Strong,Single Target
Lumberer,A3,Massive Momentum,ATK,6825,1.5,1.2,1.00,12285,20,Average,AoE Enemy
Fodbor the Bard,A3,Awful Crooning,ATK,7445,1.5,1.1,1.00,12284,10,Average,AoE Enemy
Jaeger,A1,Shackle Shot,ATK,7443,1.5,1.1,1.00,12281,10,Strong,Single Target
Archbishop Pinthroy,A2,Holy Word,ATK,7440,1.5,1.1,1.00,12276,10,Average,AoE Enemy
Walking Tomb Dreng,A2,Exalted Pyre,HP,10226,1,1.2,1.00,12271,20,Average,AoE Enemy
Jurojin,A2,Fated Duel,HP,10219,1,1.2,1.00,12263,20,Average,Single Target
Throatcutter,A1,Cleaver,ATK,5838,1.5,1.4,1.00,12260,40,Strong,Single Target
Rian the Conjurer,A1,Magma Ball,ATK,6809,1.5,1.2,1.00,12256,20,Strong,Single Target
Oathbound,A2,Subjugate,ATK,7426,1.5,1.1,1.00,12253,10,Strong,AoE Enemy
Magus,A1,Paralyze,ATK,8168,1.5,1,1.00,12252,0,Strong,Single Target
Redeemer,A1,Split,ATK,6534,1.5,1.25,1.00,12251,25,Strong,Single Target
Aristocrat,A1,Sepsis Tips,ATK,6805,1.5,1.2,1.00,12249,20,Strong,Single Target
Greenwarden Ruarc,A2,Rust Consume You,DEF,6958,1.6,1.1,1.00,12246,10,Average,AoE Enemy
Slayer,A1,Vicious Strike,ATK,7422,1.5,1.1,1.00,12246,10,Strong,Single Target
Sandbow,A1,Let Fly,ATK,6044,1.5,1.35,1.00,12239,35,Strong,Single Target
Dagger,A1,Double Daggers,ATK,6797,1.5,1.2,1.00,12235,20,Strong,Single Target
Gomlok Skyhide,A3,Wild Surge,ATK,8154,1.5,1,1.00,12231,0,Average,AoE Enemy
Tormin the Cold,A3,Blizzard Rage,DEF,7642,1.6,1,1.00,12227,0,Average,AoE Enemy
Cormac the Highpeak,A1,Drover,ATK,6792,1.5,1.2,1.00,12226,20,Strong,Single Target
Kaiden,A2,Shatter Sweep,DEF,6643,1.6,1.15,1.00,12223,15,Average,AoE Enemy
Magmablood,A1,Hurl,ATK,7084,1.5,1.15,1.00,12220,15,Strong,Single Target
Magmablood,A2,Splinters,ATK,7084,1.5,1.15,1.00,12220,15,Average,AoE Enemy
Yaga the Insatiable,A1,Virulent Cleaver,ATK,7081,1.5,1.15,1.00,12215,15,Strong,Single Target
Skullcrusher,A1,Smash,DEF,6353,1.6,1.2,1.00,12198,20,Strong,Single Target
Kantra the Cyclone,A1,Bane Hatchet,DEF,6925,1.6,1.1,1.00,12188,10,Strong,Single Target
Tomb Lord,A1,Crippling Blows,ATK,6494,1.5,1.25,1.00,12176,25,Strong,Single Target
Nari the Lucky,A2,Rainbow of Woe,DEF,6912,1.6,1.1,1.00,12165,10,Average,AoE Enemy
Frozen Banshee,A1,Death's Caress,ATK,6758,1.5,1.2,1.00,12164,20,Strong,Single Target
Metalshaper,A1,Transference Bolt,DEF,6606,1.6,1.15,1.00,12155,15,Strong,Single Target
Erinyes,A1,Razor Claws,ATK,6752,1.5,1.2,1.00,12154,20,Strong,Single Target
Gladiator,A1,Cleaving Axe,ATK,7365,1.5,1.1,1.00,12152,10,Strong,Single Target
Baroth the Bloodsoaked,A3,Serpent Axes,HP,10552,1,1.15,1.00,12135,15,Average,Single Target
Paragon,A1,Power Drain,DEF,6316,1.6,1.2,1.00,12127,20,Strong,Single Target
Burangiri,A2,Bakemono Charge,DEF,6888,1.6,1.1,1.00,12123,10,Average,AoE Enemy
Azure,A1,Lunge,ATK,5983,1.5,1.35,1.00,12116,35,Strong,Single Target
Ragemonger,A1,Recoup,ATK,6210,1.5,1.3,1.00,12110,30,Strong,Single Target
Spikehead,A1,Stomp,ATK,6200,1.5,1.3,1.00,12090,30,Strong,Single Target
Marquis,A1,Skewer,ATK,6705,1.5,1.2,1.00,12069,20,Strong,Single Target
Reinbeast,A1,Caning,DEF,6559,1.6,1.15,1.00,12069,15,Strong,Single Target
Steelskull,A1,Decay,ATK,7314,1.5,1.1,1.00,12068,10,Strong,Single Target
Elva Autumnborn,A1,Scepter of Thriving,ATK,6704,1.5,1.2,1.00,12067,20,Strong,Single Target
Hellgazer,A1,Soul Rend,ATK,6436,1.5,1.25,1.00,12068,25,Strong,Single Target
Marked,A1,Dance of Blades,ATK,8045,1.5,1,1.00,12068,0,Strong,Single Target
Ramantu Drakesblood,A1,Psychic Overload,ATK,6703,1.5,1.2,1.00,12065,20,Strong,Single Target
Valkyrie,A2,Stand Firm,ATK,6702,1.5,1.2,1.00,12064,20,Average,AoE Enemy
Marksman,A1,Venom Arrow,ATK,6696,1.5,1.2,1.00,12053,20,Strong,Single Target
Dilgol,A2,Shot Spray,ATK,7299,1.5,1.1,1.00,12043,10,Average,AoE Enemy
Dunestrider,A3,Harsh Mercy,ATK,7298,1.5,1.1,1.00,12042,10,Average,AoE Enemy
Hotatsu,A1,Red River,DEF,6253,1.6,1.2,1.00,12006,20,Strong,Single Target
Fenshi,A1,Hate Blades,ATK,7275,1.5,1.1,1.00,12004,10,Strong,Single Target
Countess Lix,A2,Mire of Misery,ATK,7274,1.5,1.1,1.00,12002,10,Average,AoE Enemy
Dunestrider,A1,Desert Wind,ATK,6955,1.5,1.15,1.00,11997,15,Strong,Single Target
Minaya,A1,Graceful Guide,ATK,6661,1.5,1.2,1.00,11990,20,Strong,Single Target
Zargala,A3,Crack Armor,ATK,7610,1.5,1.05,1.00,11986,5,Average,AoE Enemy
Inquisitor Shamael,A1,Wreak Revenge,ATK,5699,1.5,1.4,1.00,11968,40,Strong,Single Target
Narma the Returned,A1,Hell Crescent,ATK,7253,1.5,1.1,1.00,11967,10,Strong,Single Target
Sikara,A1,Followup Volley,ATK,6639,1.5,1.2,1.00,11950,20,Strong,Single Target
Vergumkaar,A3,Crushing Trample,ATK,6639,1.5,1.2,1.00,11950,20,Average,AoE Enemy
Kantra the Cyclone,A2,Chaos Tempest,DEF,6493,1.6,1.15,1.00,11947,15,Average,AoE Enemy
Infiltrator,A1,Shank,ATK,6371,1.5,1.25,1.00,11946,25,Strong,Single Target
Phranox,A1,Carve Through,ATK,7238,1.5,1.1,1.00,11943,10,Strong,Single Target
Sepulcher Sentinel,A1,Sword of Withering,DEF,6218,1.6,1.2,1.00,11939,20,Strong,Single Target
Occult Brawler,A1,Sorcerous Razor,ATK,7225,1.5,1.1,1.00,11921,10,Strong,Single Target
Templar,A1,Charge,DEF,6208,1.6,1.2,1.00,11919,20,Strong,Single Target
Duelist,A1,Elan,ATK,5885,1.5,1.35,1.00,11917,35,Strong,Single Target
Peydma,A2,Flesh Warp,DEF,6475,1.6,1.15,1.00,11914,15,Average,AoE Enemy
Odachi,A1,Showy Slice,DEF,6757,1.6,1.1,1.00,11892,10,Strong,Single Target
Zargala,A1,Split Apart,ATK,6342,1.5,1.25,1.00,11891,25,Strong,Single Target
Ifrit,A1,Feebleness Curse,ATK,6341,1.5,1.25,1.00,11889,25,Strong,Single Target
Perforator,A1,Vermin Slayer,ATK,6890,1.5,1.15,1.00,11885,15,Strong,Single Target
Steel Bowyer,A1,Binding Arrows,ATK,6092,1.5,1.3,1.00,11879,30,Strong,Single Target
Rotting Mage,A3,Mental Overload,ATK,6881,1.5,1.15,1.00,11870,15,Average,Single Target
Courtier,A1,Outmaneuver,ATK,6316,1.5,1.25,1.00,11843,25,Strong,Single Target
Vagabond,A1,Dreamer's Curse,ATK,6578,1.5,1.2,1.00,11840,20,Strong,Single Target
Godseeker Aniri,A1,Blade of Blessings,DEF,6432,1.6,1.15,1.00,11835,15,Strong,Single Target
Chaagur,A3,Heart Stopper,ATK,6569,1.5,1.2,1.00,11824,20,Average,Random Enemy
Bogwalker,A1,Bone Katars,DEF,6154,1.6,1.2,1.00,11816,20,Strong,Single Target
Ripperfist,A1,Mangler Gauntlet,ATK,6057,1.5,1.3,1.00,11811,30,Strong,Single Target
Drillmaster,A1,Piercing Shot,ATK,6843,1.5,1.15,1.00,11804,15,Strong,Single Target
Fortus,A1,Taste of Oblivion,DEF,6415,1.6,1.15,1.00,11804,15,Strong,Single Target
Tolf the Maimed,A1,Blade Hand Butcher,HP,8739,1,1.35,1.00,11798,35,Strong,Single Target
Tayrel,A2,Singing Steel,DEF,6693,1.6,1.1,1.00,11780,10,Average,AoE Enemy
Ghostborn,A1,Energy Bolt,ATK,7852,1.5,1,1.00,11778,0,Strong,Single Target
Thrall,A1,Shambling Assault,ATK,6268,1.5,1.25,1.00,11753,25,Strong,Single Target
Eviscerator,A1,Bleed Dry,ATK,6267,1.5,1.25,1.00,11751,25,Strong,Single Target
Bloodpainter,A1,Throwing Spear,ATK,6260,1.5,1.25,1.00,11738,25,Strong,Single Target
Walking Tomb Dreng,A1,Corpsefire,HP,9781,1,1.2,1.00,11737,20,Strong,Single Target
Solaris,A1,Cleansing Light,ATK,7107,1.5,1.1,1.00,11727,10,Strong,Single Target
Venomage,A1,Toxicity,ATK,7106,1.5,1.1,1.00,11725,10,Strong,Single Target
Visix the Unbowed,A1,Flanged Mace,DEF,6658,1.6,1.1,1.00,11718,10,Strong,Single Target
Burangiri,A1,Battering Skull,DEF,6100,1.6,1.2,1.00,11712,20,Strong,Single Target
Big 'Un,A1,Head Splitter,ATK,5993,1.5,1.3,1.00,11686,30,Godlike,AoE Enemy
Big 'Un,A1,Head Splitter,ATK,5993,1.5,1.3,1.00,11686,30,Godlike,Single Target
Cromax Moonblood,A1,Lunar Lance,DEF,6636,1.6,1.1,1.00,11679,10,Strong,Single Target
Andryssia,A1,Censorious Bludgeon,DEF,6080,1.6,1.2,1.00,11674,20,Strong,Single Target
Grizzled Jarl,A3,Earthstomp,DEF,6080,1.6,1.2,1.00,11674,20,Average,AoE Enemy
Adriel,A1,Humiliate,ATK,7065,1.5,1.1,1.00,11657,10,Strong,Single Target
Confessor,A1,Stern Judgment,ATK,6476,1.5,1.2,1.00,11657,20,Strong,Single Target
Militia,A1,Headshot,ATK,6472,1.5,1.2,1.00,11650,20,Strong,Single Target
Achak the Wendarin,A3,Frostfire Gale,ATK,7758,1.5,1,1.00,11637,0,Average,AoE Enemy
Sanguinia,A1,Red Punishment,ATK,7042,1.5,1.1,1.00,11619,10,Average,Single Target
Gronjarr,A2,Shatter Falsity,HP,9676,1,1.2,1.00,11611,20,Average,Single Target
Ghrush the Mangler,A1,Gore-Slick Maul,DEF,6595,1.6,1.1,1.00,11607,10,Average,Single Target
Ox,A1,Onrush,ATK,6188,1.5,1.25,1.00,11603,25,Average,Single Target
Cromax Moonblood,A3,Blood Moon,DEF,7239,1.6,1,1.00,11582,0,Average,AoE Enemy
Amarantine Skeleton,A1,Sorcerous Bones,DEF,5791,1.6,1.25,1.00,11582,25,Average,Single Target
Shieldguard,A1,Uppercut,DEF,6032,1.6,1.2,1.00,11581,20,Average,Single Target
Pounder,A1,Bonebreaker,DEF,6578,1.6,1.1,1.00,11577,10,Average,Single Target
Jintoro,A1,Soul Drinker,ATK,6425,1.5,1.2,1.00,11565,20,Godlike,Single Target
Dark Elhain,A1,Necrotic Bolt,ATK,6415,1.5,1.2,1.00,11547,20,Average,Single Target
Centurion,A1,Feed on Suffering,DEF,6010,1.6,1.2,1.00,11539,20,Average,Single Target
Chevalier,A1,Hack Through,DEF,5766,1.6,1.25,1.00,11532,25,Average,Single Target
Maiden,A1,Icy Temper,ATK,6404,1.5,1.2,1.00,11527,20,Average,Single Target
Duchess Lilitu,A1,Abyssal Invocation,DEF,6264,1.6,1.15,1.00,11526,15,Average,Single Target
Gladiator,A3,Torture,ATK,6137,1.5,1.25,1.00,11507,25,Average,AoE Enemy
Adjudicator,A1,Isolation Cell,ATK,6973,1.5,1.1,1.00,11505,10,Average,Single Target
Ragemonger,A2,Toxin Flurry,ATK,6392,1.5,1.2,1.00,11506,20,Average,AoE Enemy
Trugorr,A3,Leave Them Gutted,ATK,6392,1.5,1.2,1.00,11506,20,Average,AoE Enemy
Kael,A1,Dark Bolt,ATK,6386,1.5,1.2,1.00,11495,20,Average,Single Target
Ursine Icecrusher,A1,Ravaging Paw,DEF,5987,1.6,1.2,1.00,11495,20,Average,Single Target
Urticata,A1,Mephitic Spines,ATK,6386,1.5,1.2,1.00,11495,20,Average,Single Target
Harvester,A1,Destabilize,ATK,6663,1.5,1.15,1.00,11494,15,Average,Single Target
Huntress,A1,Curved Shot,ATK,6656,1.5,1.15,1.00,11482,15,Average,Single Target
Lifetaker,A1,Bleeding Serum,ATK,6956,1.5,1.1,1.00,11477,10,Average,Single Target
Lady Annabelle,A1,Covetous Nails,ATK,6370,1.5,1.2,1.00,11466,20,Average,Single Target
Arbalester,A1,Spread Misery,ATK,6946,1.5,1.1,1.00,11461,10,Average,Single Target
Baroth the Bloodsoaked,A2,Splattering Hacks,HP,9966,1,1.15,1.00,11461,15,Average,Single Target
Elfguard,A1,Puncture,ATK,6366,1.5,1.2,1.00,11459,20,Average,Single Target
Thrasher,A1,Gorey Fists,ATK,6366,1.5,1.2,1.00,11459,20,Average,Single Target
